系统通知：官方倡导绿色健康的互动体验，严禁传送色情、赌博、政策等不良信息，一发现，封停账号。,"System notice: The official advocates green and healthy interactive experience, strictly prohibits the transmission of pornography, gambling, policy and other bad information, once found, the account will be banned.  ","Pemberitahuan sistem: Resmi menganjurkan pengalaman interaktif yang aktif dan sehat. Dilarang keras mengirimkan pornografi, perjudian, kebijakan, dan informasi tidak baik. Setelah ditemukan, akun akan diblokir.","Aviso del sistema: Abogar oficialmente por una experiencia interactiva verde y saludable, la transmisión de la pornografía, los juegos de azar, la política y otra información indeseable está estrictamente prohibido, una vez encontrado, la cuenta será bloqueada.",,,
消息,Message,Pasan,Mensajes,,,
翻转相机,Turn over,Balik,Voltear,,,
静音,Mute,Tutup mic ,Mudo,,,
麦,Mic,Mic,Mic,,,
分享,Share,Membagikan,Compartir,,,
上麦邀请,Invite mic,undangan naik kursi,Invitar al micrófono,,,
全选择,Select all,semua,Seleccionar todo,,,
确定,Confirm,Konfirmasi,Confirmar,,,
排麦列表,Mic list,Dafrar atur mic,Lista de micrófono,,,
房间名称,Room name,Nama ruangan,Nombre de la habitación,,,
进房提示,Room entry reminder,Petunjuk masuk ruangan,Recordatorio de entrada a la habitación,,,
管理员列表,Admin list,Daftar admin,Lista de administración,,,
黑名单,Blacklist,Daftar hitam,Lista negra,,,
清屏,Clear,Bersihkan layar,Aclarar,,,
退出,Exit,Keluar,Salir,,,
取消,Cancel,Batal,Cancelar,,,
直播结束,End live,berakhir siaran,Terminar en vivo,,,
直播时长,Live duration,Duasi siaran,Duración en vivo,,,
观看人数,Number viewers,Jumlah penonton,Número de espectadores,,,
收到钻石,Receive diamonds,Diamond yg menerima,Recibe diamantes,,,
返回首页,Back ,Balik beranda,Volver a la página de inicio,,,
关注,Follow,Follow,Seguir,,,
你可能会喜欢,You may like,mungkin kamu suka,Te podría gustar,,,
礼物栏,尽量翻译短一点,,,,,
普通,Normal,Biasa,Normal,,,
背包,Backpack,Ransel,Mochila,,,
探索,Explore,,Explorar,,,
动态,Moment,Moment,Momento,,,
从这遇见TA,Meet He/She from here,Bertemu dia di sini,Conoce a él / ella desde aquí,,,
筛选,Filter,Saring,Filtrar,,,
点赞,Like,Like,Gustar,,,
发消息,Send message,Kirim pesan,Enviar mensaje,,,
全部,All,semua,Todo,,,
男,Male,Pria,Chico,,,
女,Female,Perempuan,Chica,,,
动态,尽量翻译短一点,,,,,
热门话题,Hot topic,Topik hot,Tema candente,,,
全部,All,Semua,Todo,,,
好友,Friend,Teman,Amigos,,,
推荐,Recommend,Rekmendasi,Recomendar,,,
最新,Newest,Terbaru,Más reciente,,,
发布动态,Post Moment,Post Moment,Publicar momentos,,,
此刻的感想.....,Thoughts at the moment.....,Perasaan saat ini ,Pensamientos en este momento .....,,,
#请选择今日热门话题,#Please select today's hot topic,Silahkan pilih topik hot hari ini ,#Seleccione el tema candente de hoy,,,
发布,Post,Kirim,Publicar ,,,
发帖参与话题,Post moment to join in the topic,Post moment untuk mengikuti topik ,Publica un momento para unirte al tema,,,
全部话题,All topics,Semua topik ,Todos temas,,,
话题,Topic,Topik,Tema,,,
热门话题,Hot topic,Topik hot,Tema candente,,,
全部,All,Semua ,Todo,,,
最新,Newest,Terbaru,Más reciente,,,
%s 人参与此话题,%s users participated in this topic,%sorg mengikuti topik ini,%s usuarios participaron en este tema,,,
%s分钟前,%s min ago,%smenit yang lalu,Hace %s minutos,,,
评论,Comment,komentar%s,Comentar,,,
%s 月 %是日,%s month% day,Tanggal%s ,,,,
刚刚,Just now,Tadi ,Ahora mismo,,,
请输入你的评论,Please enter your comment,Silakan masukkan komentar anda,"Introduzca su comentario, por favor",,,
发消息,Send message,Kirim pesan,Enviar mensaje,,,
喜欢,Like,Like,Gustar,,,
更多,More,Lebih banyak,Más,,,
举报,Report,Laporkan,Denunciar,,,
取消,Cancel,Batalkan,Cancelar,,,
还没有人评论这个动态哦~,No one commented on this moment yet~,Belum ada yang mengomentari momen ini,Nadie ha comentado este momento todavía~,,,
,,,,,,
,,,,,,
消息页,尽量翻译短一点,,,,,
消息,Message,Pesan,Mensaje,,,
好友,Friend,Teman,Amigos,,,
申请通知,Application notice,Pemberitahuan aplikasi,Aviso de solicitud,,,
系统通知,System notice,Pemberitahuan sistem,Aviso del sistema,,,
我点赞的人,Someone I liked,Orang yang aku sukai,Alguien que me gusta,,,
陌生人消息,Stranger message,Pesan orang asing ,Mensajes de desconocidos,,,
刚刚,Just now,Tadi ,Ahora mismo,,,
好友请求,Friend request,Permintaan pertemanan,Solicitud de amistad,,,
我的申请,My request,Permintaan saya,Mi petición,,,
黑名单,Blacklist,Daftar hitam,Lista negra,,,
同意,Agree,Setuju,Convenir,,,
拒绝,Reject,Tolak,Rechazar,,,
申请中,Applying,Memproseskan,Aplicando,,,
已同意,Agreed,Sudah setuju,Convenido,,,
我的,尽量翻译短一点,,,,,
好友,Friend,Teman,Amigos,,,
关注,Follow,Follow,Seguir,,,
粉丝,Fans,penggemar,Seguidores,,,
钱包,Wallet,Dompet,Billetera,,,
邀请,Invite,Undang,Invitar,,,
任务,Task,Tugas,Tarea,,,
装扮商城,Mall,Mall,Tienda,,,
我的公会,My agency,Keluarga saya,Mi agencia,,,
我的等级,My level,Level saya,Mi nivel,,,
反馈,Feedback,Umpan balik,Realimentación,,,
设置,Setting,Pengaturan,Configurar,,,
资料,Information,Data,Información,,,
动态,Moment,Moment,Momento,,,
个性签名,Signature,Bio,Firma,,,
想在这里认识更多的朋友,Want to meet more friends here,Mau mengenal lebih banyak teman di sini ,Quiero conocer más amigos aquí,,,
个性标签,Personality tag,Tag kepribadian,Etiqueta de personalidad,,,
礼物墙(%s),Gift wall (%s),Dinding hadiah(%s),Muro de regalos (%s),,,
关注,Follow,Follow,Seguir,,,
私聊,Private chat,Obrolan pribadi,Chat privado,,,
修改资料,Modify information,Ubah informasi,Modificar información,,,
昵称,Nickname,Nama panggilan,Apodo,,,
性别,Gender,Jenis kelamin,Género,,,
生日,Birthday,Hari ulang tahun,Cumpleaños,,,
国家,Country,Negara,País,,,
选择个人标签,Choose tag,Pilih tag,Elige etiqueta,,,
性格（最多选5个标签）,Personality (select up to 5 tag),Kepribadian (5 tag paling banyak dipilih),Personalidad (seleccione hasta 5 etiquetas),,,
兴趣标签,Interest tag,Tag minat,Etiqueta de interés,,,
正在视频中,On video,Sedang video,En video,,,
去找TA,Find She/He,Temukan dia,Encontrar a ella/él,,,
充值,Recharge,Top up ,Recargar,,,
收益,Income,Penghasilan,Ingreso,,,
我的钱包,My wallet,Dompet saya ,Mi billetera,,,
账单明细,Billing Details,Detail Penagihan,Detalles de facturación,,,
收入礼物,Gift Income ,Pendapatan hadiah,Ingresos por regalos,,,
送礼物,Send gift,Gift yg dikirim,Enviar regalo,,,
充值记录,Recharge record,Catatan top up,Registro de recarga,,,
邀请记录,Invitation record,Catatan undangan,Registro de invitación,,,
钻石余额,Diamond balance,Saldo berlian,Equilibrio de diamantes,,,
收益记录,Income record,Catatan pendapatan,Registro de ingresos,,,
钻石可用于兑换金币,Diamonds can be exchanged for gold coins,Berlian bisa ditukar dengan koin,Los diamantes se pueden cambiar por monedas de oro.,,,
兑换金币,Exchange gold coins,Tukar koin,Intercambiar monedas de oro,,,
提现,Withdraw,Withdraw,Retirar,,,
任务中心,Task center,Pusat tugas,Centro de tareas,,,
我的银币,My silver coins,koin perak saya,Mis monedas de plata,,,
今日暂未签到 累计签到0天,No sign-in today. Accumulative sign-in 0 days,"Hari ini blum absen, akumulasi absen 0 hari ",No hay inicio de sesión hoy. Inicio de sesión acumulativo 0 días,,,
银币商城,Silver Coin Mall,Mall koin perak,Tienda de Silver Coin,,,
精美头饰框,Exquisite headwear,Bingkai cantik ,Exquisito marco de tocado,,,
超多福利奖励,Super multi-benefit rewards,Banyak bonus,Recompensas de súper beneficios múltiples,,,
抽取幸运卡,Draw lucky card,Undian kartu keberuntungan,Sortear de cartas de la suerte,,,
新手任务,Newbie task,Tugas pemula,Tareas de novato,,,
完善个人信息,Improve personal information,Lengkapi informasih pribadi,Mejorar la información personal,,,
去完成,To complete,Pergi untuk selesainya ,Completar,,,
绑定手机号,Bind mobile phone number,Terikat telepon,Vincular número de teléfono móvil,,,
发布动态,Post moment,Post moment,Publicar momento,,,
上麦10分钟,Take mic 10 min,Naik kursi selama 10 menit,Toma el micrófono 10 min,,,
送一个礼物,Send 1 gift ,Kirim 1 gift ,Envía 1 regalo,,,
充值一次,Recharge once,Top up 1 kali ,Recargar una vez,,,
%s 银币,%s silver coins,%s skoin perak,%s monedas de plata,,,
银币商城,Silver Coins Mall,Mall koin perak,Tienda de monedas de plata,,,
翻牌抽奖,Flip cards draw,Undian ,Voltear las cartas robar,,,
%s 天,%s days,%s shari ,%s días,,,
兑换,Exchange,Tukar,Intercambiar,,,
活动规则,Activity Rules,Peraturan aktivitas,Reglas de actividad,,,
 中奖记录,Winning record,Catatan kemenangan,Récord ganador,,,
银币规则,Silver Coins Rules,Peraturan koin perak,Reglas de monedas de plata,,,
"1、银币可以通过签到以及其他任务获得

2、银币可用于参与银币抽奖活动以及在银币商城兑换奖励

3、银币不提现","1.Silver coins can be got by sign-in and other tasks

2.Silver coins can be used to join in the silver coin lottery activity and exchange rewards in the silver coin mall

3.No withdrawal of silver coins","1. Koin perak diperoleh melalui absen dan tugas lainnya

2. Koin perak digunakan untuk berpartisipasi dalam lotre koin perak dan menukarkan hadiah di mal koin perak
 
3. Koin perak  tidak bisa penarikan ","1. Las monedas de plata se pueden obtener mediante el inicio de sesión y otras tareas.

2. Las monedas de plata se pueden usar para unirse a la actividad de lotería de monedas de plata e intercambiar recompensas en la tienda de monedas de plata.

3. No retiro de monedas de plata",,,
领取成功,Received successfully,Berhasil diterima,Recibido con éxito,,,
获得%s个银币,Get %s silver coins,Mendapatkan%skoin perak,Conseguir %s monedas de plata,,,
去直播,Go live,Pergi ke siaran ,Ir en vivo,,,
任务中心,Task center,Pusat tugas,Centro de tareas,,,
说明,Description,Penjelasan,Descripción,,,
15天内礼物赠送最多并且排名TOP1将成为TA的守护，赠送礼物价值超过TOP1将占领守护位,"If you send the most gifts within 15 days and rank TOP1, you will become guardian. If you send more gifts than TOP1, you will occupy guardian position","User yang memberikan total harga gift terbanyak dalam 15 hari akan menjadi pemenang. Apabila ada User yang memberikan total harga gift lebih banyak dari pemenang, maka user tersebut akan merebut dan menempati posisi pemenang sebelumnya.",,,,
确定消耗%s 金币 购买 %s 15天？,Are you sure to spend %s gold coins to buy %s for 15 days?,Yakin menggunakan %s koin untuk membeli %s selama 15 hari?,¿Está seguro de gastar %s monedas de oro para comprar %s durante 15 días?,,,
取消,Cancel,batal ,Cancelar,,,
确定,Confirm,Yakin ,Confirmar,,,
我的等级,My level,Level saya,Mi nivel,,,
财富等级,Wealth level,Level kekayaan,Nivel de riqueza,,,
魅力等级,Charm level,Level karisma,Nivel de encanto,,,
距离下一级还差67689经验值,To the next level need 67 experience points ,Masih kurang 67689 poin akan naik 1 level ,"67,689 puntos de experiencia por debajo del siguiente nivel",,,
等级说明,Level description,keterangan level,Descripción de nivel,,,
每送1金币礼物，增加1财富经验值。随着等级的上升， 您的等级图标颜色也会相应改变。,"When send 1 gold coin gift of will increase 1 wealth experience point. As your level upgrade, the color of your level icon will change accordingly.","Menerima hadiah senilai 1 koin akan menambah 1 poin kekayaan. Saat level meningkat, ikon level anda akan berubah.","Cada regalo de 1 moneda de oro aumentará 1 valor de experiencia de riqueza. A medida que aumenta el nivel, el color de su icono de nivel cambiará en consecuencia.",,,
收到1金币价值礼物，增加1魅力经验值。随着等 级的上升，您的等级图标也会相应改变。,"When receive 1 gold coin gift of will increase 1 charm experience point. As your level upgrade, the color of your level icon will change accordingly.","Menerima hadiah senilai 1 koin menambah 1 nilai karisma. Saat level meningkat, ikon level anda akan berubah.","Cuando reciba 1 moneda de oro de regalo, aumentará 1 punto de experiencia de encanto. A medida que aumenta su nivel, el color del icono de su nivel cambiará en consecuencia.",,,
等级勋章,Level badge,Medali level,Insignia de nivel,,,
累计经验值,Accumulated experience point, akumulasi poin pengalaman,Punto de experiencia acumulada,,,
要求经验,Experience required,Permintaan pengalaman,Experiencia requerida,,,
每级需要%s经验值,Each level requires %s experience points,Setiap level membutuhkan%spoin ,Cada nivel requiere %s puntos de experiencia,,,
设置,Setting,Pengaturan,Configurar,,,
账户,Account,Akun,Cuenta,,,
语言,Language,Bahasa,Idioma,,,
清除缓存,Clear cache,Bersih cache,Limpiar la caché,,,
关于我们,About us,Tentang kami,Sobre Lami,,,
用户协议,User agreement,Perjanjian pengguna,Acuerdo de usuario,,,
退出登录,Sign out,Keluar,Salir del registro,,,
请描述您的遇到的问题,Please describe your problem,Tolong jelaskan masalah anda,Describe tu problema por favor ,,,
请留下您的联系方式,Please leave your contact information,Silakan tinggalkan informasi kontak anda,Deje su información de contacto por favor,,,
提交,Submit,Kirim,Enviar,,,
确定清除缓存？,Are you sure to clear the cache?,Apakah anda yakin menghapus cache?,¿Estás seguro de limpiar el caché?,,,
榜单翻译,,,,,,
,Sprint leader board rewards,Hadiah peringkat pencapaian tercepat,,,,
,Rank reward,Peringkat reward,,,,
,Wealth Rank,Peringkat kekayaan,Lista de riqueza,,,
,The top 1 users on the wealth list last month will receive rewards.,Top 1 di peringkat kekayaan bulan lalu akan mendapat reward,Los top 1 usuarios en la lista de riqueza el mes pasado recibirán recompensas.,,,
这里是H5的,The top 3 users on the wealth list last week will receive rewards.,Top 3 di peringkat kekayaan minggu lalu akan mendapat reward,Los top 3 usuarios de la lista de riqueza de la semana pasada recibirán recompensas.,,,
,Charm Rank,Peringkat Karisma,Lista de encanto,,,
,The top 3 hosts on the charm list each hours will be rewards with room label for 1 hour.,Top 3 di peringkat karisma setiap jam akan mendapat label kamar selama 1 jam,Los top 3 emisores en la lista de encanto cada hora serán recompensas con la etiqueta de la habitación durante 1 hora.,,,
,The top 3 hosts on the charm list last week will receive different label.,Top 3 di peringkat karisma minggu lalu akan mendapat label kamar yang berbeda ,Los top 3 emisores en la lista de encanto de la semana pasada recibirán una etiqueta diferente.,,,
,Ageny Rank,Peringkat Agency,Lista de agencia,,,
,The top 3 agent on the charm list last week will receive many coins.,Agency top 3 di peringkat karisma minggu lalu akan mendapat banyak koin  ,Los top 3 agencias de la lista de encanto de la semana pasada recibirán muchas monedas de oro.,,,
,,,,,,
翻,Turn,Balik,Invertirse,,,
兑换,Exchange,Tukar,Intercambio,,,
谢谢参与,Thanks,Terima kasih,Gracias,,,
领取成功!,Received successfully!,Berhasil diterima,¡Éxito de recaudación!,,,
申请成功；等待主播邀请中...,Request is successfully; waiting for the host invite...,Permintaan berhasil; menunggu undangan host...,Solicitud aceptada; a la espera de la invitación de emisor...,,,
图片地址异常，请重试！,"The image address is abnormal, please try again!","Lokasi gambar anormal, silahkan coba lagi","Excepción de la dirección de la imagen, por favor, inténtelo de nuevo.",,,
为了您的体验，请选择 300X300 以上的图片哦~~,"For your experience, please select images over 300X300 ~~","Untuk pengalaman anda, silahkan pilih gambar yg berukur 300x300","Para su experiencia mejor, elija una imagen de 300x300 o más~~",,,
您已退出群聊！,You have exited the group chat!,Anda telah keluar dari grup ,¡Has abandonado el chat de grupo!,,,
群主不能给自己送礼哦！,The group owner can't send gift to himself!,Owner grup tidak bisa kirim hadiah ke sendiri,Los jefes de grupo no pueden hacerse regalos a sí mismos.,,,
您已全部完善信息，点个赞!,"You have completed all the information, click a like!",Anda telah melengkapi informasi ,"Has completado toda la información, ¡felicidades!",,,
您已在该直播间,You are already in the live room,Anda telah di ruangan ini ,Ya estás en esta sala en vivo,,,
您正在开播中，不能进入其他直播间,You are living and cannot enter other live room,"Anda sedang siaran, tidak bisa masuk ruangan lain ","Estás en la transmisión y no puedes acceder a otros canales directos
",,,
申请成功；等待主播邀请中...,Request is successfully; waiting for the host invite...,Permintaan berhasil; menunggu undangan host...,Solicitud aceptada; a la espera de la invitación de emisor...,,,
内容含有敏感词，发布失败!,"Content contains sensitive words, posted failed!  ","Konten berisi sensitif, gagal terkirim ","El contenido contiene palabras sensibles, ¡publicación fallida!",,,
图片违规，请重新添加,"Picture violation, please upload again","Pelanggaran gambar, silahkan tambah lagi ","La imagen es ilegal, por favor, vuelva a añadirla",,,
举报成功~~,Report successful~~,Laporkan berhasil ,Reportado con éxito~~,,,
举报成功，我们会尽快为您处理,"The report is successful, we will deal with it as soon as possible","Laporkan berhasil, kami akan menyelesaikannya sesegera mungkin","Informe exitoso, lo procesaremos lo antes posible",,,
操作成功！,Operate successfully,Berhasil ,¡Operación exitosa!,,,
赠送礼物成功,Sent gift successfully,Berhasil kirim hadiah,Regalar éxito,,,
你已被此房间踢出，请稍后再进,"You have been kicked out of the room, please enter later again","Anda telah dikeluar ruangan, silahkan masuk lagi nanti","Has sido expulsado de esta habitación, por favor vuelve más tarde",,,
初始化引擎失败,Failed to initialize engine,Gagal menginisialisasi mesin,Motor de inicialización fallado,,,
进房失败，请稍后重试,"Failed to enter room, please try again later","Gagal masuk ruangan, silahkan coba lagi ","Entrada fallida, inténtelo de nuevo más tarde",,,
当前网络不稳定，请检查网络,"Current network is unstable, please check the network","Saat ini jaringan tidak stabil, silahkan periksa jaringan","La red actual es inestable, por favor compruebe la red",,,
当前网络异常，与服务器断开连接，请检查网络,"The current network is abnormal, disconnected from the server, please check the network","Saat ini jaringan anormal, putuskan sambungan dari server, silahkan periksa jaringan","La red actual es anormal, desconectada del servidor, por favor, compruebe la red",,,
进入直播间超时，请重试...,"Entering the live room timed out, please try again...","Masuk ruangan melalui waktu batas, suilahkan coba lagi ","Tiempo de espera para entrar en la sala en vivo, inténtelo de nuevo...",,,
您的版本可能过低，不支持进入该类型的直播房！,Your version may be too low to enter this type of room!,Versi anda terlalu rendah tidak mendukung memasuki ruang kencan ini!,Su versión puede ser demasiado baja para soportar el acceso a este tipo de sala de citas!,,,
密码输入框弹出异常,The password input box pops up abnormally,Kotak input kata sandi muncul secara anormal,Caja de entrada de contraseña emergente excepción,,,
再按一次可退出直播间,Press again to exit the live room,Klik lagi untuk keluar dari ruangan,Pulsa de nuevo para salir de la sala,,,
播放失败，文件异常,"Play failed, the file is abnormal","Pemutaran gagal, dokumen anormal","Fallo en la reproducción, excepción de archivo",,,
播放列表中还没有歌曲哦！,There are no songs in the playlist yet!,Daftar musik ga ada lagu ,Todavía no hay canciones en la lista de reproducción.,,,
开始扫描...,Start scanning...,Mulai memindai,Comienza a escanear...,,,
正在扫描，请稍后...,"Scanning, please wait...",Sedang memindai,"Escaneando, por favor espere...",,,
获取群组信息失败！,Failed to get group information!,Mengoleh informasi grup gagal ,¡Falla al obtener información del grupo!,,,
进房提示不能为空哦,The room entry reminder cannot be empty,Tips masuk ruangan tidak bisa kosong,Aviso de entrada no puede estar vacío,,,
保存成功！,Saved successfully!,Berhasil menyimpan,¡Guardado con éxito!,,,
保存失败；,Save failed;,Gagal menyimpan,Fallo en el ahorro.,,,
最多只能输入15行~~,You can only enter 15 lines at most~~,Maksimal 15 baris ,Un máximo de 15 líneas~~,,,
直播间信息异常,The live room information is abnormal,Informasi ruangan anormal,Excepciones de información de la sala en vivo,,,
标题不能为空,Topic cannot be empty,Topik tidak bisa kosong,El título no puede estar vacío,,,
请告诉我们你的建议哦~~,Please tell us your suggestion~~,Silahkan ,Por favor díganos su sugerencia~~,,,
取消关注成功,Unfollow successfully,Batalkan ikuti berhasil ,Dejar de seguir con éxito,,,
关注成功,Followed successfully,Ikuti berhasil,Seguir con éxito,,,
房间名不能为空哦,Room name can not be empty,Nama ruangan tidak bisa kosong,El nombre de la sala no puede estar vacío,,,
网络已断开无法操作,The network is disconnected and cannot be operated,Jaringan terputus dan tidak dapat dioperasikan,La red está desconectada y no puede funcionar,,,
专属房不能发红包哦,Exclusive rooms can’t send lucky bag,Ruangan khusus tidak bisa mengirim kantong keberuntungan,No se pueden enviar paquetes rojos a la sala exclusiva,,,
您已被房主/管理员禁言,You have been muted by the room owner/admin,Anda telah dibungkam oleh ketua ruangan,Has sido prohibido por el propietario/administrador,,,
专属房不能进行使用该功能哦~~,This function cannot be used in the exclusive room~~,Ruangan khusus tidak bisa menggunakan fitur ini ,Esta función no está disponible en las salas exclusivas~~,,,
当前状态不能进行该操作,The operation cannot be performed in the current state,Saat ini tidak bisa menggunakan fitur ini ,Esta operación no puede realizarse en el estado actual,,,
您已在该直播间,You are already in the live room,Anda telah di ruangan ini ,Ya estás en esta sala en vivo,,,
您已申请过上麦，耐心等待主播的邀请吧！,"You have already applied for the mic, please wait patiently for  invitation!","Anda telah mendaftarkan naik mic, tunggu undangan host dengan sabar ","Ya has solicitado estar en el micro, así que ten paciencia y espera la invitación de la celestina.",,,
发送微信失败,,Gagal kirim xx,Envío fallido de WeChat,,,
房间名不能为空哦,Room name can not be empty,Nama ruangan tidak bisa kosong,El nombre de la sala no puede estar vacío,,,
保存用户信息成功！,Save user information successfully!,Mesyimpan informasi pengguna berhasil ,¡Guardar la información del usuario con éxito!,,,
您的金币数量不足，已被请出专属直播房！,You have insufficient gold coins and have been asked to leave the room!,"Saldo koin anda tidak cukup, telah dikeluarkan dari ruangan kencan khusus",Te faltan monedas de oro y te han pedido que abandones la sala exclusiva de citas.,,,
您当前已经在麦上,You are currently on mic,Anda telah di kursi ,Actualmente estás en el micro,,,
当前状态无法进行操作~,Cannot operate in current state~,Saat ini tidak bisa menggunakan fitur ini ,Estado actual no disponible para la operación~,,,
送礼用户在专属房，无法进入~,The user who sent the gift is in the exclusive room and cannot enter~,Pengguna ini di ruangan khusus tidak bisa masuk,Los usuarios que dan regalos están en la sala exclusiva y no pueden acceder a ~,,,
您已在该直播间内,You are already in the live room,Anda telah di ruangan ini ,Ya estás en esta sala en vivo,,,
正在进房邀请中，请%s秒后再试哦~~,"Inviting to enter the room, please try again in %s seconds~~","Sedang mengundang, silahkan coba lagi setelah %s menit ","En la invitación de entrada, por favor en %s segundos, inténtelo de nuevo",,,
选择人数已经超过剩余可邀请人数~~,The selected number has exceeded the remaining number of inviters~~,Jumlah telah mencapai batas ,"El número de selectores ha superado el número de invitados restantes ~~

",,,
该分类没有数据哦~~,There is no data for this category,Kategori ini tidak ada data ,No hay datos para esta categoría ~~,,,
剩余可邀请人数只有%s人了喔~~,The balance inviteable number is only %s~~,Jumlah yang bisa diundung hanya %s orang,Sólo quedan %s personas por invitar.,,,
未选择任何用户哦~~,No user selected~~,Belum pilih pengguna apapun,No hay usuario seleccionado ~~,,,
无法获取到您的剩余金币数，请稍后重试...,"Unable to get your balance gold coins, please try again later...","Tidak bisa mendapatkan saldo koin anda, silahkan coba nanti ","No se ha podido obtener el número de monedas de oro restantes, por favor, inténtelo más tarde...",,,
等待确认超时，您已放弃本次PK邀请,"Waiting for confirmation timed out, you have given up this PK invitation","Waktu tunggu konfirmasi habis, anda telah menyerah undangan PK ini","Esperando el tiempo de espera de la confirmación, ha abandonado esta invitación PK",,,
用户无应答，请稍后重试...,"The user does not answer, please try again later...","Pengguna ini tidak ada tanggapan, silahkan coba lagi nanti ","No hay respuesta del usuario, por favor inténtelo más tarde...",,,
当前无PK用户,No PK user currently,Saat ini tidak ada pengguna PK,No hay usuarios actuales de PK,,,
未选择要PK的用户哦,Did not choose to PK user,Belum pilih pengguna untuk PK,Ningún usuario seleccionado para PK,,,
暂无数据,No data yet,Belum ada data,No hay datos disponibles,,,
请选择您需要赠送的礼物哦！,Please select the gift you need to send!,Silahkan pilih gift yang anda kirimkan,"Por favor, seleccione el regalo que le gustaría hacer.",,,
您的背包礼物数量不够哦！,You don’t have enough gifts in backpack!,Gift ransel anda tidak cukup,¡No tienes suficientes regalos en tu mochila!,,,
该礼物已过期,The gift has expired,Gift ini telah kedaluwarsa,El regalo ha caducado,,,
只能在房间内才能发送红包哦,You can only send lucky bag in the room,Mengirim kantong keberuntungan hanya di ruangan ,Los paquetes rojos sólo pueden enviarse en la sala,,,
公屏消息已经被管理员禁止，请稍候再试,"Public screen messages have been banned by the admin, please try again later",Pesan layar telah dilarang oleh administrator,"Los mensajes de pantalla pública han sido prohibidos por el administrador, inténtelo de nuevo en unos minutos",,,
